Count	Name	Example1	Example2	Example3	Example4	Example5
1445	Metropolitan Toronto	Metropolitan Toronto aerial photographs	Metropolitan Toronto aerial photographs	Metropolitan Toronto aerial photographs	Metropolitan Toronto aerial photographs	Metropolitan Toronto aerial photographs
1289	CNE	CNE, flag raising, new flagpole, Mrs. W.R. Jackson, speaking	William Wanger looking at CNE poster	CNE, women's swim, group of swimmers greased	CNE, Tom of Glenburn, F.H. Deacon, Unionville, Grand Champion Fat Steer, all breeds	Governor General Alexander and K.R. Marshall, President of the CNE, on stage in Bandshell at official opening of CNE by governor general
897	Maple Leaf Gardens	Alterations to Maple Leaf Gardens	Maple Leaf Gardens ice show performers	Performers dancing in Maple Leaf Gardens ice show	Badminton played on skates in Maple Leaf Gardens ice show	Maple Leaf Gardens ice show performer drinking milk
728	High Park	High Park - Star Carnival - ski race	Map of High Park land use	People photographing cherry trees in bloom and cyclist in High Park = Grenadier 7	High Park : Half Mile Road	High Park — duck pond
632	Way Department	Switchman's safety belt, (Way Department)	Lake Shore Road, west, from John St, (Way Department), (see photo #6292)	Eastern Ave, south of Russell Car House, looking west, (Way Department)	Queen St E and Canadian National Railway grade separation, looking east, (Way Department)	Lake Shore Road, east, from Brown's Line, (Way Department)
626	City Hall	(De Lasalle Cadet Corps and Band) outside City Hall, Queen St. W., at Bay St.	Presentation of flowers to Mayor Stewart, City Hall	Reflection of old City Hall in Queen Street West store window	Grenadier Guards Band in front of City Hall, 1939 Royal visit	Cyclists at City Hall
586	Alexandra Park	Alexandra Park: Ryerson Avenue	Alexandra Park: Dennison Street	Playground in unidentified park, possilby Alexandra Park	Alexandra Park: Dundas Street	Alexandra Park: Grange Avenue
511	Union Station	Grand Trunk Railway yard and freight office from top of [old] Union Station	Construction progress photograph showing the fan room of the centre block of the new Union Station	Ice Capades performers at Union Station	Parade outside Union Station for arrival of His Eminence Cardinal James Charles McGuigan 	Construction progress photograph showing the north-east corner and front facade of Union Station
447	Old City Hall	His Eminence Cardinal James Charles McGuigan arrives at Old City Hall and is greeted by Mayor Robert H. Saunders	Mayor Nathan Phillips and Clarence Campbell, president of the NHL, look on as Maurice "Rocket"  Richard signs City's guest book, mayor's office, Old City Hall	Old City Hall roof	Old City Hall — northwest Albert Street	Maurice "Rocket" Richard, Mayor Nathan Phillips and group on steps of Old City Hall
441	C.N.E.	C.N.E., women's swim, Hertle boat inside breakwater	C.N.E., Percy Williams presentation, main Band Stand	C.N.E., Percy Williams, Olympic runner and mother, portrait	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  George H. Hees,posing on motorboat with life jacket	C.N.E., women's swim, Jewel Cheatwood, Edith Hedin, etc., grease
