citations,titles,dates,uniqueID,imageLink,CopyrightCode,totalNumber,source_url
"Fonds 1568, Item 109","Key to composite entitled, First Parliament of Ontario",after 1870,135155,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1568/f1568_it0109-4.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=3201&EndIndex=3400
"Fonds 1257, Series 1057, Item 2434",Mr. Bloomfield,[before 1940],213227,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it2434.jpg,NG-CC,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=7601&EndIndex=7800
"Fonds 1257, Series 1057, Item 1742","Miss Toronto Beauty Contest 1953, Exihibition Stadium",Summer 1953,212532,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it1742.jpg,NG-CC,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=7001&EndIndex=7200
"Fonds 1568, Item 95","First contingent of soldiers returning from South African War, King Street",1901,135141,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1568/f1568_it0095-2.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=3201&EndIndex=3400
"Fonds 1257, Series 1057, Item 1811","Miss Toronto Beauty Contest 1960, Exhibition Stadium",Summer 1960 ,212601,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it1811.jpg,NG-CC,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=7001&EndIndex=7200
"Fonds 200, Series 372, Subseries 100, Item 21",Bay Street temporary bridge,[192-?],102654,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0021.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=1401&EndIndex=1600
"Fonds 1257, Series 1057, Item 2422",Benedict at Liberal Party dinner,[196-?],213215,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it2422.jpg,NG-CC,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=7601&EndIndex=7800
"Fonds 200, Series 372, Subseries 79, Item 9",Bay Street temporary bridge from tower,"September 28, 1925",143835,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0079/s0372_ss0079_it0009.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=4601&EndIndex=4800
,,,,,,,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=1601&EndIndex=1800
"Fonds 200, Series 372, Subseries 29, Item 25",East side,"June 11, 1930",107128,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0029/s0372_ss0029_it0025.jpg,PDP,1,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2601&EndIndex=2800
