freq,name,osmid,lat,lng,score,OSM Name,Wiki
3,Adam Beck Public School,2334556963,43.6832856,-79.2886957,60,Adam Beck Public School,
16,Air Canada Centre,1000000019882585,43.6435132,-79.3790996,31,Air Canada Centre,en:Air Canada Centre
36,Alexander Muir Memorial Gardens,1000000224893870,43.7212741,-79.4004774,30,Alexander Muir Memorial Gardens,
3,Alexander Park,1000000034406591,43.8377095,-79.4865442,30,Alexander Park,
3,All Saints Anglican Church,1000000093992886,43.9273616,-79.5271178,61,All Saints Anglican Church,"en:All Saints, King City"
94,Allan Gardens,1000000224894996,43.6619387,-79.3743996,31,Allan Gardens,en:Allan Gardens
5,Amesbury Park,1000000224895850,43.7061098,-79.4831586,30,Amesbury Park,
5,Annesley Hall,1000000023436623,43.6678101,-79.3929754,6,Annesley Hall,en:Annesley Hall
2,Architecture Building,1000000023447538,43.6593338,-79.3779202,5,Architecture Building,
2,Arena Gardens,1000000224897357,43.655872,-79.375574,30,Arena Gardens,
11,Argonaut Rowing Club,1000000033805683,43.6320266,-79.4360343,5,Argonaut Rowing Club,
3,Armour Heights Public School,1000000035674358,43.7411912,-79.4195871,60,Armour Heights Public School,
2,Ashbridges Bay,555446744,43.6603169,-79.3151711,0,Ashbridges Bay,
1,Astron Electrical Contractors,5057261751,43.6957156,-79.3399291,0,Astron Electrical Contractors,
29,Automotive Building,1000000028938494,43.6337712,-79.4105131,6,Beanfield Centre,en:Exhibition Place
46,BCE Place,1000000034111206,43.6472158,-79.3783011,5,Brookfield Place,
11,Baird Park,1000000224915100,43.6623661,-79.4625989,30,Baird Park,
4,Balmy Beach,1000000224916384,43.6694483,-79.2865782,30,Balmy Beach,
4,Balmy Beach Club,1000000043808622,43.669983,-79.2863705,5,Balmy Beach Club,
13,Banting Institute,1000000022914055,43.6605821,-79.3886232,5,Banting Institute,
1,Bata Shoe Museum,1000000022372216,43.6672516,-79.4001431,41,Bata Shoe Museum,en:Bata Shoe Museum
26,Bathurst Station,2000000007281889,43.6657302,-79.4116188,1,Bathurst Station,en:Bathurst (TTC)
24,Bay Adelaide Centre,1000000025108215,43.6503255,-79.3804891,6,Bay-Adelaide Centre West,en:Bay Adelaide Centre
1,Beardmore Building,1000000108058907,43.6475707,-79.3747303,5,Beardmore Building,
2,Bell Canada,1000000031363304,43.7277814,-79.2977333,5,Bell Canada,
2,Bellevue Square,1000000224932904,43.6535196,-79.4023305,30,Bellevue Square,
121,Berczy Park,1000000224933152,43.6480044,-79.375157,30,Berczy Park,
5,Beresford Park,1000000224933155,43.6561188,-79.4803348,30,Beresford Park,
7,Best Institute,1000000022914063,43.6604615,-79.3892521,5,Best Institute,
4,Beth Tzedec Synagogue,1000000043808645,43.6955518,-79.4243526,60,Beth Tzedec Synagogue,
4,Better Living Centre,1000000149476927,43.6317246,-79.4207381,5,Better Living Centre,
1,Bialik Hebrew Day School,1000000172228328,43.8529831,-79.4651365,60,Bialik Hebrew Day School,
2,Bickford Park,1000000225007153,43.6609855,-79.4186672,30,Bickford Park,
1,Bingham Loop,540244289,43.68153,-79.2849552,0,Bingham Loop,
2,Bishop Strachan School,1000000035491471,43.6908207,-79.409199,61,Bishop Strachan School,en:Bishop Strachan School
7,Black Creek Pioneer Village,365667572,43.7745365,-79.5179164,41,Black Creek Pioneer Village,en:Black Creek Pioneer Village
1,Bloor Collegiate Institute,1000000015637191,43.6590393,-79.4369503,61,Bloor Collegiate Institute,en:Bloor Collegiate Institute
1,Bloor Street United Church,1000000043808595,43.6673994,-79.4020259,61,Bloor Street United Church,en:Bloor Street United Church
