title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale,geolocatable,datable,date_start,date_end,user_notes,latLng
Ryerson University on north side of Gould east of Yonge,"Fonds 200, Series 1465, File 306, Item 4",[between 1978 and 1980],Photographs,File 306; Job sites - Yonge St. project/Gould St.,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0306_it0004.jpg,450044,321998,1978-1980,9 transparencies : col ; 35mm,Job sites - Yonge St. project/Gould St.,,,,,,,,,,,,,,,Locatable,yes,1978,1980,,"{""latLng"":""43.657618138544024,-79.38115655211482""}"
TTC float,"Fonds 1567, Series 648, File 8, Item 1",,,File 8; TTC float,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0008_id0001.jpg,439127,124828,"November 30, 1957",3 photonegatives : b&w; ; 10 x 13 cm,TTC float : Grey Cup parade,,,,,,,,,,,,,,,Not Locatable,yes,1957,,,
Reflection in Sheraton Centre windows on Queen St,"Fonds 1526, File 50, Item 3","October 16, 1979",Photographs,File 50; Hotels in Toronto,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0050_it0003.jpg,517016,456437,"June 24, 1973-August 19, 1983","44 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Hotels in Toronto,"File consists of 44 35mm Kodachrome slide transparencies of various Toronto hotels, including: the New Broadview House Hotel, the Harbour Castle Hilton, the Holiday Inn Colony Hotel on Chestnut Street, the Lord Simcoe Hotel, and the Sheraton Centre Downtown Hotel.",1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1979,,,"{""latLng"":""43.6511149,-79.3843172""}"
Spadina and Harbord looking east,"Fonds 200, Series 1465, File 179, Item 47",1993,Photographs,File 179; University of Toronto - study,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0179_id0047.jpg,445357,307012,1993,165 transparencies : col. ; 35mm ,University of Toronto - study,File consists of images of buildings and streetscapes at the University of Toronto's St. George campus.,,,,,,,,,,,,,,Locatable,yes,1993,,,"{""latLng"":""43.6630483,-79.4022147""}"
Opening ceremonies of Bloor-Danforth subway line,"Fonds 1567, Series 648, File 193, Item 55",,,File 193; Opening ceremonies of Bloor-Danforth subway line,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0193_id0055.jpg,446446,126922,1966,69 photonegatives : b&w; and col. ; 6 x 6 cm,Opening ceremonies of Bloor-Danforth subway line,,,,,,,,,,,,,,,Not Locatable,yes,1966,,,
Ralph Johnstone flying box kite airplane,"Fonds 1244, Item 69","July, 1910","Photographs
Photographs - events",Fonds 1244; William James family fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it0069.jpg,48924,46340,,,,,1 photoprint : b&w; ; 16 x 12 cm. — 1 photonegative : b&w; ; 12 x 10 cm,AIRCRAFT (browse  records) CROWDS (browse  records) SPECTATORS (browse  records),,,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 1.","Item consists of one photograph of an airplane in flight. Information provided by a researcher indicates that the airplane is probably a 1909 Model ""A"" (Transitional) bi-plane flown by Ralph Johnstone of the Wright Exhibition Company, and that the event is probably the Ontario Motor League Aviation Meet held at Trethewey Model Farm, Weston, July 8-16, 1910.",,,,,,,,Maybe,yes,1910,,,
Audience for Metropolitan Opera at Maple Leaf Gardens,"Fonds 1257, Series 1057, Item 6934",[195-],Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it6934.jpg,217748,210141,,,,,1 photonegative : b&w; ; 11 x 13 cm,ARENAS (browse  records) AUDIENCES (browse  records),,,,,,,,,,,,Locatable,no,,,,"{""latLng"":""43.6620418,-79.38020640000002""}"
"Corner of John St. and Wellington St., looking south-east","Fonds 2032, Series 841, File 78, Item 25",1972,Photographs,"File 78; Peter Street, Windsor Street, and John Street corners, from Front Street to Adelaide Street",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser841/s0841_fl0078_it0025.jpg,670590,622184,1972,33 photographs : b&w; ; 20 x 25 cm,"Peter Street, Windsor Street, and John Street corners, from Front Street to Adelaide Street",,1 print : b&w; ; 20 x 25 cm,STREETSCAPE (browse  records),,Previously cited as: RG32B print 553,,,,,,,,,,Locatable,yes,1972,,,"{""latLng"":""42.90289749999999,-81.4866159""}"
View of Casa Loma from tower of stables,"Fonds 1244, Item 4030",[ca. 1920],Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.Reseachers may not have access to original prints or negatives, but may use the reference prints available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it4030.jpg,87137,46340,,,,,1 photoprint : b&w;,HOUSES (browse  records),,,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume",,,,,,,,,Locatable,yes,1920,,,"{""latLng"":""43.6793851,-79.41097990000003""}"
Metropolitan Toronto aerial photographs,"Fonds 257, Series 12, File 1983,  46j",,,File 1983; Metropolitan Toronto aerial photographs,,OPEN - No restrictions on these government records.,Copyright is not held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser12/s0012_fl1983_it0046j.jp2,559155,461458,April 1983,X diazo prints : b&w; ; 71 x 61 cm,Metropolitan Toronto aerial photographs : sheets 1 to X,,,,,,,,,,,,,,,Not Locatable,no,,,The photo link is broken?,
