title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale
Gardiner looking south at Rees [?],"Fonds 200, Series 1465, File 624, Item 9",[between 1983 and 1987],Photographs,File 624; Miscellaneous Toronto locations,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0624_it0009.jpg,555540,324133,"[191-?], [196-?], 1983-1987",26 transparencies : colour ; 35mm,Miscellaneous Toronto locations,File contains of miscellaneous images of Toronto locations. Some are duplicates of images in other files in this series.,,,,,,,,,,,,,
226-230 Yonge Street,"Fonds 200, Series 372, Subseries 58, Item 2519","April 8, 1954","Photographs - streetscapes
Photographs",Subseries 58; Road and street condition photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0058/s0372_ss0058_it2519.jpg,98086,84005,1910-1957,"2,502 photographs : b&w; ; 13 x 18 cm and smaller",Road and street condition photographs,"Subseries consists of photographs of streets and intersections across Toronto. Arranged chronologically, the photographs document road construction and maintenance projects including street paving (bitulithic, tarvia, concrete, Rocmac), road widening, track laying and reconstruction, and the creation of traffic islands. Also included are examples of damage to streets, including erosion, and weather-related incidents such as defective paving, cave-ins, curb heaving and flooding. ",1 photoprint : b&w; ; 15 x 18 cm - 1 copynegative : b&w; ; 15 x 18 cm,ROADS (browse  records),,,,,,,,,,,
"Colonel [William George] Barker funeral, casket being placed on hearse","Fonds 1266, Item 19520","March 15, 1930",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 19520.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it19520.jpg,302348,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",FUNERALS (browse  records) MILITARY CEREMONIES (browse  records),"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-19520,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
City model,"Fonds 200, Series 1465, File 85, Item 11",1996,Photographs,"File 85; City model, 1996",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0085_id0011.jpg,442076,306920,1996,15 transparencies : col. ; 35mm,"City model, 1996",File consists of images of a model of a part of the city.,,MODELS (REPRESENTATIONS) (browse  records),,,,,,,,,,,
"York Mills high level bridge, piers from north below, trees foreground","Fonds 1266, Item 15240","October 15, 1928",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 15240.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it15240.jpg,292082,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-15240.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
Toronto miscellaneous,"Fonds 124, File 8, Item 328",,,File 8; Toronto miscellaneous,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0008_id0328.jpg,430035,127343,1945-1979,333 transparencies : col. ; 35 mm,Toronto miscellaneous,"File consists of colour slides documenting miscellaneous aspects of Toronto including the Scarborough Bluffs, the Humber River, Toronto Bay, Yorkville, Nathan Phillips Square, the flower show at City Hall, construction on the CN Tower, Montgomery's Inn, and Eagle house (Weston). There are also images of a crash scene on Highway 401 at Islington, and aerial views of the CNE, the waterfront, and Bramalea.",,,,,,,,,,,,,
Mothers and children - films taken by Miss Norah Moore of Miss Dyk's office (film negatives),"Fonds 200, Series 372, Subseries 32, Item 280","May 19, 1914",Photographs,Subseries 32; Health Department photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0032/s0372_ss0032_it0280.jpg,84546,83977,1911-1940,"ca. 245 photoprints : b&w; ; 13 x 18 cm and smaller
909 photonegatives : b&w; ; 13 x 18 cm and smaller",Health Department photographs,"Subseries consists of images taken for the Department of Health by the Department of Works photographer. Arranged in chronological order, these photographs focus on issues of concern to the Health Department during the tenure of Medical Officer of Health Dr. Charles Hastings. Subjects addressed in the photographs include: food and milk control, housing conditions and overcrowding, sanitation (including sewage disposal, plumbing, and drainage), quarantine and communicable disease control, potable water and water treatment, infants' clinics and mothers' classes, the activities of visiting public health nurses, and health and dental clinics held in Toronto public schools.
Subseries also includes photographs of offices, laboratories, and equipment associated with the operation of the Department of Health, as well as copies of charts and diagrams illustrating various public health statistics for Toronto.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,
Cinch anchor bolts,"Fonds 1128, Series 381, File 194, Item 9522-3",,,File 194; Cinch anchor bolts,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0194_id9522-3.jpg,426654,103759,"May 16, 1952",9 photonegatives : b&w; ; 10 cm X 13 cm,Cinch anchor bolts,File consists of photographs showing workers drilling and installing the cinch bolts for the track. There are also photographs showing the subway tunnels and track.,,,,,,,,,,,,,
Spadina Crescent East looking north to Russell,"Fonds 200, Series 1465, File 209, Item 1",[between 1980 and 1998],Photographs,File 209; University of Toronto - Spadina Crescent and St. George,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0209_it0001.jpg,446970,307043,[between 1980 and 1998],30 transparencies : col. ; 35mm,University of Toronto - Spadina Crescent and St. George,"File consists of images of the University of Toronto and Knox College at Spadina, St. George, and Russell.",,universities and colleges (browse  records),,,,,,,,,,,
Balaclava melee at Acton,"Fonds 1244, Item 1976",[ca. 1930],Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.To preserve the original prints, researchers should consult the reference photocopies available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it1976.jpg,53578,46340,,,,,1 photoprint : b&w; ; 12 x 18 cm. — 1 photonegative : b&w; ; 10 x 12 cm,horseback riding (browse  records) horse sports (browse  records),neg is a copy neg.,W. James Sen.,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 27.",,,,,,,,
