archival_citation,date,image_src,source_url,title
"Fonds 200, Series 372, Subseries 100, Item 702",[ca. 1958-?],/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0702.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2601&EndIndex=2800,Snow removal equipment
"Fonds 1257, Series 1057, Item 1613","July 24, 1948",/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it1613.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=6801&EndIndex=7000,"Miss Toronto Beauty Contest 1948, Woodbine Racetrack"
"Fonds 200, Series 372, Subseries 79, Item 51","June 18, 1926",/webcat/systems/toronto.arch/resource/ser372/ss0079/s0372_ss0079_it0051.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=4601&EndIndex=4800,Union Station
"Fonds 1257, Series 1057, Item 2207",[194-],/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it2207.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=7401&EndIndex=7600,RCAF 12 Communication Squadron airplane
"Fonds 1257, Series 1057, Item 201",[ 192-?],/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it0201.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=6001&EndIndex=6200,Rosedale Public School
"Fonds 200, Series 372, Subseries 100, Item 585",[ca. 1945-52],/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0585.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2401&EndIndex=2600,Street Cleaning Department - flushers
"Fonds 1498, Item 21",1856,/webcat/systems/toronto.arch/resource/fo1498/f1498_it0021.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2801&EndIndex=3000,Toronto from the top of the Rossin House Hotel
"Fonds 1567, Series 648, File 47",1959,/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0047_id0001.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=3001&EndIndex=3200,Unidentified men
"Fonds 1257, Series 1057, Item 514",[before 1980],/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it0514.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=6201&EndIndex=6400,Unidentified theatre
"Fonds 200, Series 372, Subseries 100, Item 339","[ca. November, 1958]",/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0339.jpg,https://gencat4.eloquent-systems.com/webcat/request/Action?ClientSession=56ecfe77:16010afa3e2:-7eef&UniqueID=6000_3355_2&TemplateProcessID=6000_3355&PromptID=&ParamID=&CMD_(BrowseRequest)&NoOfHits=109923&Threshold=200&StartIndex=2201&EndIndex=2400,Keele Street looking north from Lloyd
