uniqueID,Link,title,geolocatable,datable,date_start,date_end,user_notes,latLng,Lat,Lng,Maps,Num,source,OK?,Mismatch (ft)
38956,38956,"Township of York, Eglinton, looking east, from Sanderstead",Locatable,yes,1924,,,"43.6928435,-79.46303189999998",43.6928435,-79.46303189999998,link,1,party,TRUE,
39110,39110,"Bloor and Dundas sts, looking south-west, (Way Department)",Locatable,yes,1925-07-15,1925-07-15,,"43.64151349999999,-79.53519589999996",43.64151349999999,-79.53519589999996,link,1,ryan,TRUE,
40203,40203,"Memorial Hall, (interior), Niagara Historical Society, (Commercial)",Locatable,yes,1927,,Not in Toronto,"43.252101194443355,-79.0717591718277",43.252101194443355,-79.0717591718277,link,1,party,TRUE,
41446,41446,"Burning of S.S. John Hanlan, at Sunnyside, (Ferry Department)",Locatable,yes,1929,,,"43.636766,-79.45201759999998",43.636766,-79.45201759999998,link,1,party,TRUE,
41911,41911,"3:45-4:15 p.m., Yonge St, south, from Dundas St, (Executive Department)",Locatable,yes,1930,,,"43.65633254497444,-79.3809034920655",43.65633254497444,-79.3809034920655,link,3,party,TRUE,
41911,41911,"3:45-4:15 p.m., Yonge St, south, from Dundas St, (Executive Department)",Locatable,yes,1930-11-04,,,"43.6562208,-79.3806394",43.6562208,-79.3806394,link,3,ryan,TRUE,104.4725688
41911,41911,"3:45-4:15 p.m., Yonge St, south, from Dundas St, (Executive Department)",Locatable,yes,1930,,,"43.65633254497444,-79.3809034920655",43.65633254497444,-79.3809034920655,link,3,matt,TRUE,104.4725688
42283,42283,Toronto forty years ago,Not Locatable,yes,1891,1932,,,,,,1,party,TRUE,
48896,48896,Sir Henry and Lady Pellatt,Not Locatable,yes,1909,,,,,,,1,party,TRUE,
48924,48924,Ralph Johnstone flying box kite airplane,Maybe,yes,1910,,,,,,,2,party,TRUE,
48924,48924,Ralph Johnstone flying box kite airplane,Maybe,yes,1910,,,,,,,2,matt,TRUE,0
49448,49448,Don crossing looking west,Maybe,yes,1890,1899,,"45.364144,-75.79404699999998",45.364144,-75.79404699999998,,2,party,TRUE,
49448,49448,Don crossing looking west,Maybe,yes,1890,1899,,"45.364144,-75.79404699999998",45.364144,-75.79404699999998,,2,matt,TRUE,0
51661,51661,"Signs in window of the Toronto Star building, King Street West",Locatable,yes,1911,,,"43.6490114,-79.37867499999999",43.6490114,-79.37867499999999,link,1,party,TRUE,
52359,52359,Munitions factory,Not Locatable,yes,1916,,,,,,,1,party,TRUE,
52436,52436,Soldiers,Maybe,yes,1915,,,,,,,2,party,TRUE,
52436,52436,Soldiers,Maybe,yes,1915,,,,,,,2,matt,TRUE,0
52552,52552,"Grenadier cadets, Rosedale",Locatable,yes,1914,,,"43.683375,-79.37717199999997",43.683375,-79.37717199999997,link,1,party,TRUE,
52650,52650,"African Methodist Episcopal Church, Oakville",Maybe,yes,1908,,,,,,,1,ryan,TRUE,
53264,53264,Sir John Craig Eaton with Duke of Connaught and officers,Not Locatable,yes,1915,,,,,,,1,party,TRUE,
53578,53578,Balaclava melee at Acton,Maybe,yes,1930,1930,,,,,,2,party,TRUE,
53578,53578,Balaclava melee at Acton,Not Locatable,yes,1930,1930,,"43.6339088,-80.04132199999998",43.6339088,-80.04132199999998,,2,ryan,TRUE,33212181.76
58220,58220,"Rolling Stock emergency truck #122, (Federal), (Garage Department)",Not Locatable,yes,1936,,,,,,,1,party,TRUE,
58912,58912,Canadian National Exhibition,Locatable,yes,1936,,,"43.632629103458044,-79.423691539978",43.632629103458044,-79.423691539978,link,1,party,TRUE,
79272,79272,Lakeshore Road level crossing at Sunnyside looking east,Maybe,yes,1910,,,"47.4796207,-79.66894200000002",47.4796207,-79.66894200000002,,3,party,TRUE,
79272,79272,Lakeshore Road level crossing at Sunnyside looking east,Maybe,yes,1910,,,"47.4796207,-79.66894200000002",47.4796207,-79.66894200000002,,3,matt,TRUE,0
79272,79272,Lakeshore Road level crossing at Sunnyside looking east,Locatable,yes,1910,,Likely referring to a previous Lakeshore Road.,"43.637791, -79.448064",43.637791, -79.448064,link,3,danvk override,TRUE,1401966.723
